sku,price,special_price,weight,ups,shipping_cost
"RCP2631GRA","33.8600","23.7000","2.1700","Y","",
"RCP2631RED","33.8600","23.7000","2.6000","Y","3.4814",
"RCP2631WHI","33.8600","23.7000","1.6700","Y","3.4814",
"RCP2631YEL","33.8600","23.7000","2.2000","Y","3.4814",
"RCP2631DGR","33.8600","23.7000","2.0500","Y","",
"RCP2632YEL","103.9300","72.7500","7.4000","Y","10.7198",
"RCP2632BLU","103.9300","72.7500","8.6000","Y","10.7198",
"RCP2632DGR","103.9300","72.7500","7.6380","Y","10.7198",
"RCP2632GRA","90.0000","63.0000","8.4000","N","",
"RCP2632RED","103.9300","72.7500","8.6000","Y","10.7198",
"RCP2632WHI","103.9300","72.7500","8.6000","Y","10.7198",
"RCP263273BLU","103.9300","72.7500","8.4000","N","",
"RCP263788GRA","250.7100","175.5000","9.8000","Y","",
"RCP263788RED","250.7100","175.5000","9.2540","Y","25.5255",
"RCP2640BLA","144.6400","101.2500","6.5500","Y","",
"RCP264043BLA","218.5700","153.0000","12.5200","Y","22.3704",
"RCP2642YEL","129.6400","90.7500","2.2000","Y","",
"RCP264360RED","162.8600","114.0000","13.0000","N","",
"RCP264356GRA","162.8600","114.0000","13.7500","N","",
"RCP264360BLA","162.8600","114.0000","12.3750","N","",
"RCP264360BLU","162.8600","114.0000","12.7000","N","",
"RCP264360DGR","162.8600","114.0000","12.8420","N","",
"RCP264360GRA","143.5700","100.5000","13.0625","N","",
"RCP264360YEL","162.8600","114.0000","12.3000","Y","16.5711",
"RCP264360WHI","162.8600","114.0000","12.7000","N","",
"264307BLU","127.4700","49.1832","12.0000","N","",
"RCP264560WHI","43.8900","16.9344","2.3430","Y","5.7057",
"RCP264560YEL","43.8900","16.9344","2.2000","Y","5.7057",
"RCP264560BLA","43.8900","16.9344","2.4100","Y","",
"RCP264560BLA","43.8900","16.9344","2.4100","Y","5.7057",
"RCP264560DGR","43.8900","16.9344","2.5600","Y","5.7057",
"RCP264560RED","43.8900","16.9344","3.1500","Y","5.7057",
"RCP264600BLA","364.1200","137.9060","21.0000","Y","",
"RCP264788GRA","204.3800","78.8724","57.7500","Y","26.5694",
"RCP264788RED","204.3800","78.8724","1.0000","Y","26.5694",
"RCP2649GRA","69.4400","26.7840","2.0000","Y","9.0272",
"RCP2650BLA","240.9600","92.9664","10.5760","Y","31.3248",
"RCP2651L2","9.1600","4.7952","0.0100","Y","1.1908",
"RCP2654DGRNCT","195.8600","75.5568","12.3000","Y","",
"RCP2654WHICT","195.8600","75.5568","11.6000","Y","",
"RCP2654DGRNCT","195.8600","75.5568","12.3000","Y","",
"RCP2654REDCT","195.8600","75.5568","11.6000","Y","",
"RCP2654YEL","195.8600","75.5568","11.8000","Y","25.4618",
"RCP2655DGRNCT","586.3700","222.0276","47.3000","N","",
"RCP2655DGRNCT","586.3700","222.0276","47.3000","N","",
"RCP2655REDCT","586.3700","222.0276","47.2000","N","",
"RCP2655WHICT","586.3700","222.0276","47.6000","N","",
"RCP2655YELCT","586.3700","222.0276","47.5000","N","",
"RCP2655GRAY","146.1500","81.3780","15.0000","Y","",
"RCP265788GY","260.5800","100.5480","14.3000","Y","",
"RCP265788RED","260.5800","100.5480","13.9000","Y","28.6638",
"RCP2664BEI","141.8600","54.7344","26.9600","Y","18.4418",
"RCP2664GRAY","141.8600","54.7344","5.6650","Y","",
"RCP267200BG","75.0200","28.9440","2.0000","Y","",
"RCP267200GY","75.0200","28.9440","1.6000","Y","",
"RCP267360BEI","83.5400","32.2380","3.1300","Y","10.8602",
"RCP267360BLUCT","334.1800","126.5640","12.5000","Y","",
"RCP267360BEI","83.5400","32.2380","3.1300","Y","",
"RCP267400BK","99.6000","38.4264","1.5300","Y","",
"RCP268888GY","85.6900","33.0588","0.8800","Y","",
"RCP268988BG","67.9300","26.2008","2.8480","Y","",
"RCP268988GRA","67.9300","26.2008","2.0000","Y","",
"RCP268988GRA","67.9300","26.2008","2.0000","Y","8.8309",
"RCP2690GRECT","242.6700","93.6576","2.0000","Y","",
"RCP2691GRECT","252.3400","97.3944","4.5860","Y","",
"RCP269288BE","85.6900","33.0588","0.8180","Y","",
"RCP269288BRO","85.6900","33.0588","0.8000","Y","11.1397",
"RCP269288BRO","85.6900","33.0588","0.8000","Y","",
"RCP270388BE","85.6900","33.0588","0.8060","Y","",
"RCP2791BLU","132.5200","51.1380","3.0000","Y","17.2276",
"RCP2882CLE","12.6100","4.8708","1.0000","Y","1.6393",
"RCP2884CLE","21.9200","8.4564","0.4600","Y","2.8496",
"RCP2885WHI","15.5900","6.0156","0.3920","Y","2.0267",
"RCP2886CLE","24.5200","9.4608","0.7120","Y","3.1876",
"RCP2947GRA","44.5400","17.1936","2.0000","Y","5.7902",
"RCP295073BLA","21.1800","8.1756","0.7500","Y","2.7534",
"RCP295073GRECT","254.0700","98.0856","9.0000","Y","",
"RCP2952BEI","15.5900","6.0156","0.6000","Y","2.0267",
"RCP2955GRA","14.1400","5.4540","2.0000","Y","1.8382",
"RCP295500BG","14.1400","5.4540","1.1200","Y","",
"RCP2955GRA","14.1400","5.4540","2.0000","Y","",
"RCP295573BE","14.4800","5.5944","1.1020","Y","",
"RCP295673BE","15.5900","6.0156","1.8200","Y","",
"RCP295600BG","15.1900","5.8644","1.7000","Y","",
"RCP295600GY","15.1900","5.8644","1.8750","Y","",
"RCP295606GRECT","200.1400","77.1444","23.5000","Y","",
"RCP295673BE","15.5900","6.0156","1.8200","Y","",
"RCP295773BE","29.7300","11.4696","1.6500","Y","",
"RCP295700BG","28.6200","11.0376","0.9000","Y","",
"RCP295700GY","28.6200","11.0376","0.9000","Y","",
"RCP295773BE","29.7300","11.4696","1.6500","Y","",
"RCP2963GRAY","18.1900","8.5104","1.3100","Y","",
"RCP2963RED","24.1200","9.3096","1.0000","Y","3.1356",
"RCPST12SSPL","745.6700","283.0836","22.0000","Y","82.0237",
"RCPST24EPLWH","616.4400","233.4438","59.1600","Y","67.8084",
"RCP3062PRPERCT","110.4700","43.7400","0.8000","Y","",
"RCP306600BG","32.7000","12.6144","0.9700","Y","",
"RCP306600BK","32.7000","12.6144","0.9690","Y","",
"RCP306700BG","34.1900","13.1868","1.1170","Y","",
"RCP306700BK","34.1900","13.1868","1.1140","Y","",
"RCP3210CLE","13.3600","5.1516","0.1000","Y","1.7368",
"RCP3215CLE","23.0700","8.8992","0.1000","Y","2.9991",
"RCP3216CLE","25.6000","9.8712","1.0000","Y","3.3280",
"RCP3217CLE","34.9000","13.4784","0.7080","Y","4.5370",
"RCP3218CLE","37.9200","14.6340","2.0000","Y","4.9296",
"RCP3300CLE","107.4200","41.4396","7.0000","Y","13.9646",
"RCP3301CLE","155.1600","59.8644","5.0000","Y","20.1708",
"RCP3302CLE","43.2500","16.6752","2.0000","Y","5.6225",
"RCP3303CLE","67.9500","26.2116","3.9790","Y","8.8335",
"RCP3304CLE","59.4000","22.9176","25.6300","Y","7.7220",
"RCP3305CLE","38.1000","14.7096","1.3530","Y","4.9530",
